id,service_id,salon_id,service_name,service_num,department_name,service_class_name,goods_id,goods_name,balance,consume_unit,consume_unit_id,unit,material_raw_json
1094772,430104,1467,【服务】杏枝山淡斑瓶,FW20250226145751608,皮肤科,中胚层项目,184391,101,1,件,0,件,"{""id"":135797,""service_id"":430104,""goods_id"":184391,""goods_name"":""101"",""balance"":1,""consume_unit"":""件"",""consume_unit_id"":0,""unit"":""件"",""ratio"":1,""spu_id"":184391}"
805765,365055,1467,【服务】大腿脱毛,FW20240329675412724,皮肤科,脱毛项目,,,,,,,
170374,111903,1467,【服务】小手臂脱毛,045,皮肤科,脱毛项目,,,,,,,
989522,422044,1467,日式碳酸泉头皮护理,251251,生美部,生美项目,,,,,,,
986594,421412,1467,【服务】国产衡力瘦脸针50U,FW20241229593043885,无创科,肉毒素治疗,,,,,,,
188843,122154,1467,【服务】全脸脱毛,2021516,皮肤科,脱毛项目,,,,,,,
1574501,529084,1467,【服务】奕森祛痘微针,FW20260403087049924,皮肤科,中胚层项目,283713,伊肤泉小绿瓶,1,件,0,件,"{""id"":201574,""service_id"":529084,""goods_id"":283713,""goods_name"":""伊肤泉小绿瓶"",""balance"":1,""consume_unit"":""件"",""consume_unit_id"":0,""unit"":""件"",""ratio"":1,""spu_id"":283713}"
839693,377283,1467,【服务】络腮胡脱毛,FW20240526456134329,皮肤科,脱毛项目,,,,,,,
805789,365080,1467,【服务】伊肤泉毛孔细致套组,FW20240329798324802,皮肤科,中胚层项目,258816,伊肤泉毛孔紧致套组,1,件,0,件,"{""id"":11239,""service_id"":365080,""goods_id"":258816,""goods_name"":""伊肤泉毛孔紧致套组"",""balance"":1,""consume_unit"":""件"",""consume_unit_id"":0,""unit"":""件"",""ratio"":1,""spu_id"":258816}"
989531,422053,1467,手指脱毛,251260,生美部,生美项目,,,,,,,
851939,378564,1467,【服务】黄金超声炮全模式,FW20240531896123060,皮肤科,光电项目,,,,,,,
1568305,527343,1467,【服务】T区博乐达水杨酸,FW20260327758589526,皮肤科,小项目,,,,,,,
805764,365054,1467,【服务】比基尼V/I/O三选一,FW20240329843118707,皮肤科,脱毛项目,,,,,,,
1567628,527179,1467,直白618-怡珂欣三文鱼水光,FW20260327780834299,皮肤科,中胚层项目,,,,,,,
1560095,524966,1467,【服务】超皮秒（洗纹身）,FW20260322457136084,皮肤科,光电项目,,,,,,,
813211,368352,1467,【服务】黄金超光子（1565resurFX）,FW20240413313851530,皮肤科,光电项目,,,,,,,
1552993,523624,1467,【服务】曲安奈德,FW20260318470998613,无创科,肉毒素治疗,,,,,,,
805785,365076,1467,【服务】海月兰基础水光,FW20240329447345778,皮肤科,中胚层项目,274513,医用透明质酸钠凝胶2.0ml（海月兰）,1,支,0,支,"{""id"":11242,""service_id"":365076,""goods_id"":274513,""goods_name"":""医用透明质酸钠凝胶2.0ml（海月兰）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274513}"
805775,365066,1467,【服务】欧洲之星全模式（含眼）,FW20240329618005460,皮肤科,光电项目,,,,,,,
1113923,433816,1467,（服务）超光子四肢美白嫩肤,FW20250320190445591,皮肤科,光电项目,,,,,,,
805132,365008,1467,【服务】手指脱毛,FW20240329191102649,皮肤科,脱毛项目,,,,,,,
915824,401955,1467,【服务】欧洲之星超v脸,FW20241001075649050,皮肤科,光电项目,,,,,,,
805134,365010,1467,【服务】唇毛(下唇）,FW20240329925303186,皮肤科,脱毛项目,,,,,,,
1541190,521460,1467,【服务】瘦肩/瘦腿100单位,FW20260306421236122,无创科,肉毒素治疗,,,,,,,
1540359,521354,1467,【服务】舒颜长效水光,FW20260305533694931,皮肤科,中胚层项目,274518,（娃娃针）润致Agua注射用修饰透明质酸纳凝胶2.0ml,1,支,0,支,"{""id"":199724,""service_id"":521354,""goods_id"":274518,""goods_name"":""（娃娃针）润致Agua注射用修饰透明质酸纳凝胶2.0ml"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274518}"
840859,377889,1467,【服务】伊肤泉小绿瓶AB战痘瓶,FW20240528888577386,皮肤科,中胚层项目,283713,伊肤泉小绿瓶,1,件,0,件,"{""id"":13509,""service_id"":377889,""goods_id"":283713,""goods_name"":""伊肤泉小绿瓶"",""balance"":1,""consume_unit"":""件"",""consume_unit_id"":0,""unit"":""件"",""ratio"":1,""spu_id"":283713}"
103981,68356,1467,【服务】舒敏专家只照光（修复光）,pfk013,皮肤科,小项目,,,,,,,
805769,365060,1467,【服务】黄金超光子（单模式）,FW20240329862276237,皮肤科,光电项目,,,,,,,
805805,365096,1467,【服务】润致娃娃针,FW20240329035793108,皮肤科,中胚层项目,274518,（娃娃针）润致Agua注射用修饰透明质酸纳凝胶2.0ml,1,支,0,支,"{""id"":11249,""service_id"":365096,""goods_id"":274518,""goods_name"":""（娃娃针）润致Agua注射用修饰透明质酸纳凝胶2.0ml"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274518}"
1516847,519258,1467,人中窝埋线,FW20260206387156058,整外科,眼部-重睑术,,,,,,,
1511148,518043,1467,双美肤柔美0.5ml胶原水光,FW20260127076533578,皮肤科,水光,274211,壳聚糖季铵盐生物胶体液（爱尔菲琳黑）（10支/盒）,1,支,0,支,"{""id"":198114,""service_id"":518043,""goods_id"":274211,""goods_name"":""壳聚糖季铵盐生物胶体液（爱尔菲琳黑）（10支/盒）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274211}"
948611,405801,1467,菲林普利L,FW20241021689784234,无创科,玻尿酸（塑形填充）,274211,壳聚糖季铵盐生物胶体液（爱尔菲琳黑）（10支/盒）,1,支,0,支,"{""id"":57887,""service_id"":405801,""goods_id"":274211,""goods_name"":""壳聚糖季铵盐生物胶体液（爱尔菲琳黑）（10支/盒）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274211}"
1511131,518040,1467,菲林普利M,FW20260127464949665,无创科,玻尿酸（塑形填充）,274211,壳聚糖季铵盐生物胶体液（爱尔菲琳黑）（10支/盒）,1,支,0,支,"{""id"":198095,""service_id"":518040,""goods_id"":274211,""goods_name"":""壳聚糖季铵盐生物胶体液（爱尔菲琳黑）（10支/盒）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274211}"
1511130,518039,1467,菲林普利S,FW20260127237795180,皮肤科,水光,274211,壳聚糖季铵盐生物胶体液（爱尔菲琳黑）（10支/盒）,1,支,0,支,"{""id"":198094,""service_id"":518039,""goods_id"":274211,""goods_name"":""壳聚糖季铵盐生物胶体液（爱尔菲琳黑）（10支/盒）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274211}"
1508322,517962,1467,【服务】塑妍萃童颜针,FW20260126861269172,无创科,玻尿酸（塑形填充）,,,,,,,
1508323,517963,1467,【服务】蓉止,FW20260126675905693,无创科,紧致提升/平复术（溶脂针）,,,,,,,
1508321,517961,1467,【服务】丽驻兰健康肌1+1,FW20260126549668056,皮肤科,光电项目,,,,,,,
1508260,517939,1467,【服务】雪花遮光瓶,FW20260125473615052,皮肤科,光电项目,,,,,,,
1506998,517275,1467,思伊美清若祛颈纹3ml,FW20260121455723758,皮肤科,中胚层治疗（产品）,274195,注射用透明酸钠复合溶液（嗨体1.5ml/支）,1,支,0,支,"{""id"":197662,""service_id"":517275,""goods_id"":274195,""goods_name"":""注射用透明酸钠复合溶液（嗨体1.5ml/支）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274195}"
805776,365067,1467,【服务】欧洲之星双模式,FW20240329996816991,皮肤科,光电项目,,,,,,,
